YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC
2024,10,1,3,1.8763264503146253,5.3263002939166215,0.9560961984888134,57.14501447647718,0.7403030289687201
2024,10,1,5,2.9977744279856844,10.159733561032137,2.7753985916739548,62.80860956154351,1.8041406409400338
2024,10,1,6,3.0810140845424514,12.487575823024715,3.6374797791443925,63.56690764346877,2.280317602293223
2024,10,1,8,2.548336522214019,12.612472269152649,4.631210516905596,58.64417902004489,2.781039702800476
2024,10,1,9,2.2667643977890726,12.435902504840712,4.6307585195136625,57.00509895440815,2.812893745307775
2024,10,1,10,1.3781287647249933,12.037234423102854,4.84792424533561,60.681327514877694,2.87522189130365
2024,10,1,12,0.047661868759491785,6.637021486707473,2.9607222496917305,56.50074571464558,2.693485566458329
2024,10,1,13,0.0,3.201498593160434,2.4960556399266034,64.44539841562552,2.342106171711935
2024,10,1,15,0.0,1.9545278873172087,2.0199814366581132,57.85469665246601,1.6034988291550265
2024,10,1,16,0.0,1.863327129739508,1.8593441561107542,62.76153362651004,1.644174894360117
2024,10,1,17,0.0,1.0030331047104453,1.7410870918490085,56.26844931306156,1.352606170880096
2024,10,1,18,0.0,-0.849238004693739,1.5263595550684734,56.99498663613564,1.116147467195165
2024,10,1,21,0.0,-1.9654191258229474,1.2564292255676648,55.712776631464145,0.9604453447314463
2024,10,1,23,0.0,-3.4817202550260298,1.0818861096432995,55.838212513620995,0.894400754019187
2024,10,2,2,1.2632759803652671,1.988350674211178,1.4058632155381743,54.019970261525046,0.900030795996577
2024,10,2,3,1.9990092036415246,3.479190926501777,1.9571341359395622,54.48010102718334,1.3195806715661682
2024,10,2,4,2.813970257364011,6.4723617471095345,2.6458839098559896,57.388613155899264,1.6080380877273608
2024,10,2,6,3.2606707998553626,10.157610675560862,3.671585801688025,59.29448260558893,2.288114622862451
2024,10,2,8,2.5053975086857565,11.911649604858972,4.3068401480939436,55.93642812682995,2.5392485472121606
2024,10,2,9,1.9226624575089124,11.769609977220469,4.177578803786881,57.26808488453946,2.7811069014013885
2024,10,2,10,1.4154372183664299,10.065539324061232,4.270829911238243,62.20750842005157,2.471641657686867
2024,10,2,11,0.6708761272916834,8.660940839712886,3.578635854194979,54.16949325154721,2.329677752391287
2024,10,2,12,0.045047761210217085,5.2538088879560245,2.4625043763332344,61.45672890955333,1.9734681099140672
2024,10,2,17,0.0,-1.0048763228962907,2.2807717620169443,62.267985449592025,1.7152989711061513
2024,10,2,18,0.0,-0.9565075634984348,1.693351344578304,57.31115609665341,1.491167695645385
2024,10,2,19,0.0,-0.8972107487858292,1.449942443129478,62.241150679921056,1.2311929465396303
2024,10,2,20,0.0,-1.3189481696680883,1.219918780852263,53.87663112873389,0.832404459224097
2024,10,2,21,0.0,-0.6439770278275982,0.9450774014345226,55.43253679287889,0.653617214254533
2024,10,2,22,0.0,-0.8678817510989612,0.660252758026961,54.80638414179578,0.5550510170584798
2024,10,2,23,0.0,-2.6765561009927756,0.45457401758058835,61.80570185454576,0.3180344485916647
2024,10,3,0,0.0,-2.011042305145853,0.2449140964797906,56.84512760411681,0.18703863641500057
2024,10,3,2,1.23715391335727,2.3189142069443207,0.6596327668490886,63.00898233589393,0.5455132703640435
2024,10,3,3,1.822294329659504,3.365868100228259,1.3303080095439734,53.67624261814684,0.6960265785971987
2024,10,3,4,2.764296415887019,5.830361694048776,1.8260382685280587,54.846651981418205,1.1326965569237102
2024,10,3,6,3.2408502912867982,9.103853479327055,3.189256794384951,54.30398957457519,1.953371932480752
2024,10,3,7,2.811026426360201,10.586612678109864,3.53189103939787,64.6314919370556,2.46622982744325
2024,10,3,9,2.246386075223412,10.567355770218501,4.07521453782545,63.43229300755854,2.358899748111254
2024,10,3,10,1.396954505164554,9.881323200902788,3.874901210013688,57.77840854514307,2.504021020108297
2024,10,3,11,0.6118731475707564,9.863736840861641,3.7010690139757996,63.05317448274148,2.6058433906545497
2024,10,3,12,0.04808106984327225,4.16143792436943,2.287751210450091,60.027595093792925,2.1822422584505983
2024,10,3,13,0.0,2.5518748020159716,2.315539616416377,62.46424116603023,1.8264193452808288
2024,10,3,14,0.0,1.8301183561758971,2.277638159565544,56.91921017792243,1.7656293998274182
2024,10,3,15,0.0,2.003506470224406,2.3105580016843676,56.35155651364361,1.9355881112131077
2024,10,3,17,0.0,-0.5571813792694927,2.16129948845551,61.532448862616036,1.656696632729246
2024,10,3,18,0.0,-0.6883437411513992,1.9458837427213396,58.809371195938986,1.4094788305417267
2024,10,3,20,0.0,-0.6884301918055244,1.51104599410166,62.932669855724264,1.2832975575395356
2024,10,3,21,0.0,-1.0848095783450065,1.2749132707778716,58.01729122883432,1.0610168975834178
2024,10,3,22,0.0,-1.82494495900036,0.9298923493988908,64.1833161994698,0.6945355561679317
2024,10,3,23,0.0,-2.903640396303105,0.7184867758690279,54.37602609046977,0.5075584206706295
2024,10,4,0,0.0,-2.229683559567875,0.6360853916230291,53.543653419694444,0.43185233699728476
2024,10,4,1,0.4082879300897487,-1.8107929843890254,0.6706859068980046,62.60532101143125,0.4408180522278548
2024,10,4,2,1.2154022773251376,1.2326599077351192,0.6679718689581439,56.732393803104166,0.4720156953756387
2024,10,4,3,1.9173585523403525,5.465182740816632,1.3446037412628031,54.4249873190175,0.7240952901930564
2024,10,4,4,2.2576877457261872,6.648984811280919,2.099961770848461,61.64192476777729,1.197732374980491
2024,10,4,5,3.043763420036785,7.9013636654946415,2.5187405610401883,59.47088616014704,1.373965447203115
