YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC,Tp,eta
2024,4,2,23,0.0,-16.025605524314244,2.39089334822978,57.60280152412344,1.7903529689156346,-16.025605524314244,0.21323074047469454
2024,4,3,0,0.0218264538532817,-16.542360585897285,2.389977819128557,57.10979455019415,1.768250699383889,-16.542295106535725,0.2136492590362939
2024,4,3,3,1.131088948396909,-10.079889082412157,3.686000066450612,60.629865654897415,2.199011849587376,-10.076495815566966,0.20841196161060924
2024,4,3,4,2.3165176673216443,-5.965413845252075,3.9564687495064033,55.45475570123409,2.6578961325841197,-5.9584642922501105,0.2050763560767226
2024,4,3,6,2.73660271257236,-4.733518967840607,5.099738376956412,55.58251729127867,2.933305907254248,-4.72530915970289,0.20407750041935932
2024,4,3,9,1.9895055223220883,-3.326630936466608,7.066642567483604,52.916179236782746,4.720257125771753,-3.3206624198996417,0.20293973656011868
2024,4,3,11,0.7387876992676375,-4.395590296211779,5.204910398581775,58.836026736913176,4.153237676517511,-4.393373933113976,0.20380863288582232
2024,4,3,13,0.0,-9.185554661507965,3.5607192177350586,54.71083715086932,2.9975783063219232,-9.185554661507965,0.20769029927582142
2024,4,3,14,0.0,-9.833596867415304,2.8848625734462594,61.4336029714999,2.561790888682909,-9.833596867415304,0.20821521346260638
2024,4,3,18,0.0,-13.625812303705114,2.8256330390246718,54.21983354606808,1.9998805690385772,-13.625812303705114,0.21128690796600114
2024,4,3,20,0.0,-15.736446989103165,2.4166340812214293,53.95744410768253,1.6654665334857228,-15.736446989103165,0.21299652206117353
2024,4,3,22,0.0,-19.33293329340488,2.8235715691548813,56.766909423637536,2.014482348471442,-19.33293329340488,0.21590967596765795
2024,4,4,0,0.0197950702590279,-21.40050963945244,2.60753242564873,56.50012972268496,1.8886037163777805,-21.400450254241665,0.21758436470593573
2024,4,4,1,0.4561027296159123,-21.163093297716586,2.909632547261434,55.11895073231975,1.781070473013466,-21.161724989527738,0.21739099724151748
2024,4,4,2,0.9282588018429718,-17.426286458832084,3.233878858500848,59.97663489618357,1.8067699771319927,-17.423501682426554,0.2143630363627655
2024,4,4,3,1.5500893148028605,-13.84415952115961,3.4788092535375594,59.29587721835153,1.725640560482515,-13.839509253215201,0.2114600024951043
2024,4,4,4,1.9676508663572143,-8.0587570743997,2.835000454450517,56.15346920468353,1.6503090792580304,-8.052854121800628,0.2067728118386585
2024,4,4,7,3.380922830161696,-3.753701987584491,3.067454725771579,63.55506491768647,2.0531568142601877,-3.743559219094006,0.20328228296746614
2024,4,4,9,2.014866014350725,-3.357728002739662,3.130735924338762,56.976296125307066,2.1396470330322237,-3.35168340469661,0.20296486355780427
2024,4,4,12,0.2290131506690382,-5.474128039143408,1.1313568943512446,63.04780126728269,0.9453238470915682,-5.473440999691401,0.20468348720975002
2024,4,4,14,0.0,-7.6301773939559645,0.5609437807794025,62.37292453874513,0.3945707208604678,-7.6301773939559645,0.20643044368910435
2024,4,4,15,0.0,-8.03483878598484,0.7044795542513225,62.28085951960693,0.5594228776548394,-8.03483878598484,0.2067582194166477
2024,4,4,17,0.0,-10.556093223314852,1.352844255942614,58.32623298112316,1.101300844476551,-10.556093223314852,0.208800435510885
2024,4,4,18,0.0,-11.045415498006404,1.6255507052519924,56.29840100988253,1.2117811578813074,-11.045415498006404,0.2091967865533852
2024,4,4,22,0.0,-11.749960885468846,1.342432343895721,62.196845812188165,0.8735245124756364,-11.749960885468846,0.20976746831722975
2024,4,5,3,1.2126555423719405,-6.976868915006655,2.1750994190283928,64.0032960308025,1.4140095801359882,-6.973230948379539,0.20589831706818743
