YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC,Tp,eta
2024,1,1,20,0.0,-16.65798903300356,0.5085484046154516,65.3695313938582,0.2941394629144977,-16.65798903300356,0.21374297111673288
2024,1,1,21,0.0,-14.496994484538856,0.5280050006883432,57.45933863440455,0.4268055206537697,-14.496994484538856,0.21199256553247647
2024,1,1,22,0.0,-15.3543084779961,0.8260078743042849,64.67479635876157,0.5595361362253964,-15.3543084779961,0.21268698986717685
2024,1,1,23,0.0,-18.893392485517957,0.9165572773943736,62.96775104783512,0.5629977343051211,-18.893392485517957,0.21555364791326953
2024,1,2,0,0.0,-14.56354702891397,1.0178605452629093,65.94903172653169,0.840273695825037,-14.56354702891397,0.2120464730934203
2024,1,2,1,0.0,-14.520530110351451,1.6027293621309189,59.45198478790373,0.8115268073174645,-14.520530110351451,0.21201162938938467
2024,1,2,2,0.2187727725682126,-17.825275901528972,1.2966304610300967,51.91915878853337,1.1137365771477823,-17.824619583211266,0.21468794186240112
2024,1,2,3,0.8625211366920381,-15.099996330574175,1.685635320080874,48.27022234499934,0.9172162186508074,-15.097408767164099,0.2124789011014029
2024,1,2,4,1.7042459357754798,-9.158842823283988,2.157253643736972,68.41580200484273,1.6675586240302749,-9.153730085476662,0.20766452136923608
2024,1,2,5,2.438456003804813,-5.732553565203568,1.9080100392923731,48.17728848832763,1.223978607444617,-5.725238197192153,0.20488744293972563
2024,1,2,6,1.9074110768701973,-8.666684270097667,1.408094745765538,59.44561712452474,1.184067028587643,-8.660962036867057,0.2072653792498623
2024,1,2,7,2.4963291520132564,-5.588006584747316,1.2047108016384245,63.537107910043886,0.8984776359226018,-5.580517597291276,0.2047702192538059
2024,1,2,8,2.2591208208030342,-7.526826020174809,0.5090373228872542,52.49522997734606,0.515718877850069,-7.5200486577124,0.20634123941274704
2024,1,2,9,1.425887605762723,-4.1679729626647255,0.0529490873863185,48.82694563629973,0.1061105132748045,-4.163695299847437,0.2036225931928764
2024,1,2,10,0.8815865185174011,-3.3366524453899205,0.6926373702284643,65.62273153304722,0.3267655550754649,-3.334007685834368,0.20295054622552583
2024,1,2,11,0.1799744370294628,-8.782140234612191,0.969238815841614,64.2880364202268,0.983266093656006,-8.781600311301103,0.20736309625215388
2024,1,2,12,0.0,-10.702336983951495,1.216430698976032,58.96712702731436,1.1797212631286085,-10.702336983951495,0.2089188929570007
2024,1,2,13,0.0,-11.796563095347937,0.8962075430364986,47.62918508093802,0.95960146915853,-11.796563095347937,0.20980521610723182
2024,1,2,14,0.0,-9.5631991389395,0.5598504531676575,47.09354272186077,0.4685149590246593,-9.5631991389395,0.207996191302541
2024,1,2,15,0.0,-13.573085480322876,0.5158348109406042,58.38143045202356,0.2952385436431238,-13.573085480322876,0.21124419923906154
